#BioSample	Organism group	Scientific name	Isolation type	Location	Isolation source	Isolate	Antibiotic	Resistance phenotype	Measurement sign	MIC (mg/L)	Disk diffusion (mm)	Laboratory typing platform	Vendor	Laboratory typing method version or reagent	Testing standard	Create date
SAMN10221050	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Pork Chops	PDT000395039.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:51Z
SAMN10221051	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Pork Chops	PDT000395040.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:51Z
SAMN10221426	E.coli and Shigella	Escherichia coli	environmental/other	USA:GA	Pork Chops bone-in	PDT000395041.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:51Z
SAMN10221427	E.coli and Shigella	Escherichia coli	environmental/other	USA:GA	Chicken Breasts	PDT000395042.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:52Z
SAMN10221418	E.coli and Shigella	Escherichia coli	environmental/other	USA:GA	Ground Beef	PDT000395043.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:52Z
SAMN10221419	E.coli and Shigella	Escherichia coli	environmental/other	USA:GA	Pork Chops bone-in	PDT000395044.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:52Z
SAMN10221420	E.coli and Shigella	Escherichia coli	environmental/other	USA:GA	Pork Chops bone-in	PDT000395045.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:52Z
SAMN10221421	E.coli and Shigella	Escherichia coli	environmental/other	USA:GA	Chicken Breasts	PDT000395046.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:52Z
SAMN10221422	E.coli and Shigella	Escherichia coli	environmental/other	USA:GA	Chicken Wings	PDT000395047.1	ciprofloxacin	susceptible	==	0.03	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:52Z
SAMN10221423	E.coli and Shigella	Escherichia coli	environmental/other	USA:GA	ground turkey	PDT000395048.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:53Z
SAMN10221424	E.coli and Shigella	Escherichia coli	environmental/other	USA:GA	Ground Beef	PDT000395049.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:53Z
SAMN10221425	E.coli and Shigella	Escherichia coli	environmental/other	USA:GA	Pork Chops bone-in	PDT000395050.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:53Z
SAMN10221577	E.coli and Shigella	Escherichia coli	environmental/other	USA:KS	ground turkey	PDT000395051.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:53Z
SAMN10221576	E.coli and Shigella	Escherichia coli	environmental/other	USA:KS	Chicken Thighs	PDT000395052.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:53Z
SAMN10221571	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Pork Chops bone-in	PDT000395053.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:53Z
SAMN10221570	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Ground Beef	PDT000395054.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:54Z
SAMN10221569	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	ground turkey	PDT000395055.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:54Z
SAMN10221568	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Whole - cut in lab	PDT000395056.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:54Z
SAMN10221575	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Pork Chops bone-in	PDT000395057.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:54Z
SAMN10221574	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	ground turkey	PDT000395058.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:54Z
SAMN10221573	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	ground turkey	PDT000395059.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:54Z
SAMN10221572	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Whole - cut in lab	PDT000395060.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:55Z
SAMN10221307	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	ground turkey	PDT000395061.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:55Z
SAMN10221029	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Chicken Legs	PDT000395062.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:55Z
SAMN10221306	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Whole - cut in lab	PDT000395063.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:55Z
SAMN10221642	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	Ground Beef	PDT000395064.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:55Z
SAMN10221643	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	Ground Beef	PDT000395065.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:55Z
SAMN10221644	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	Pork Chops	PDT000395066.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:56Z
SAMN10221645	E.coli and Shigella	Escherichia coli	environmental/other	USA:PA	ground turkey	PDT000395067.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:56Z
SAMN10221638	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	ground turkey	PDT000395068.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:56Z
SAMN10221639	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	ground turkey	PDT000395069.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:56Z
SAMN10221640	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	Chicken Legs	PDT000395070.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:56Z
SAMN10221641	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	ground turkey	PDT000395071.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:57Z
SAMN10221646	E.coli and Shigella	Escherichia coli	environmental/other	USA:PA	ground turkey	PDT000395072.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:57Z
SAMN10221647	E.coli and Shigella	Escherichia coli	environmental/other	USA:PA	Ground Beef	PDT000395073.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:57Z
SAMN10221305	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Chicken Breasts	PDT000395074.1	ciprofloxacin	susceptible	==	0.03	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:57Z
SAMN10221304	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Pork Chops bone-in	PDT000395075.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:57Z
SAMN10221525	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	ground turkey	PDT000395076.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:57Z
SAMN10221180	E.coli and Shigella	Escherichia coli	environmental/other	USA:SD	ground turkey	PDT000395077.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:58Z
SAMN10221181	E.coli and Shigella	Escherichia coli	environmental/other	USA:SD	ground turkey	PDT000395078.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:58Z
SAMN10221178	E.coli and Shigella	Escherichia coli	environmental/other	USA:SD	ground turkey	PDT000395079.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:58Z
SAMN10221179	E.coli and Shigella	Escherichia coli	environmental/other	USA:SD	ground turkey	PDT000395080.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:58Z
SAMN10221184	E.coli and Shigella	Escherichia coli	environmental/other	USA:SD	Ground Beef	PDT000395081.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:59Z
SAMN10221185	E.coli and Shigella	Escherichia coli	environmental/other	USA:SD	Pork Chops	PDT000395082.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:00Z
SAMN10221182	E.coli and Shigella	Escherichia coli	environmental/other	USA:SD	Ground Beef	PDT000395083.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:03Z
SAMN10221183	E.coli and Shigella	Escherichia coli	environmental/other	USA:SD	Ground Beef	PDT000395084.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:03Z
SAMN10221303	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Ground Beef	PDT000395085.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:03Z
SAMN10221302	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Ground Beef	PDT000395086.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:03Z
SAMN10221186	E.coli and Shigella	Escherichia coli	environmental/other	USA:SD	Chicken Thighs	PDT000395087.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:04Z
SAMN10221187	E.coli and Shigella	Escherichia coli	environmental/other	USA:SD	ground turkey	PDT000395088.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:04Z
SAMN10221299	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	ground turkey	PDT000395089.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:04Z
SAMN10221298	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Chicken Breasts	PDT000395090.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:04Z
SAMN10221301	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Ground Beef	PDT000395091.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:04Z
SAMN10221300	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Ground Beef	PDT000395092.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:04Z
SAMN10221133	E.coli and Shigella	Escherichia coli	environmental/other	USA:PA	Pork Chops	PDT000395093.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:05Z
SAMN10221513	E.coli and Shigella	Escherichia coli	environmental/other	USA:SC	ground turkey	PDT000395094.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:05Z
SAMN10221233	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	Chicken Breasts	PDT000395095.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:05Z
SAMN10221232	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	Chicken Legs	PDT000395096.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:05Z
SAMN10221136	E.coli and Shigella	Escherichia coli	environmental/other	USA:PA	ground turkey	PDT000395097.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:05Z
SAMN10221137	E.coli and Shigella	Escherichia coli	environmental/other	USA:PA	Ground Beef	PDT000395098.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:05Z
SAMN10221229	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	Beef Patties	PDT000395099.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:06Z
SAMN10221228	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	Ground Beef	PDT000395100.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:06Z
SAMN10221231	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	Chicken Breasts	PDT000395101.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:06Z
SAMN10221230	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	Chicken Wings	PDT000395102.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:06Z
SAMN10221332	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	Ground Beef	PDT000395103.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:06Z
SAMN10221333	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	ground turkey	PDT000395104.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:06Z
SAMN10221334	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	ground turkey	PDT000395105.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:07Z
SAMN10221335	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	Ground Beef	PDT000395106.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:07Z
SAMN10221328	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	Chicken Legs	PDT000395107.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:07Z
SAMN10221329	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	ground turkey	PDT000395108.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:07Z
SAMN10221330	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	ground turkey	PDT000395109.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:07Z
SAMN10221331	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	Ground Beef	PDT000395110.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:07Z
SAMN10221336	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	Ground Beef	PDT000395111.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:08Z
SAMN10221337	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	Pork Chops	PDT000395112.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:08Z
SAMN10221156	E.coli and Shigella	Escherichia coli	environmental/other	USA:SC	Chicken Legs	PDT000395113.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:08Z
SAMN10221157	E.coli and Shigella	Escherichia coli	environmental/other	USA:SC	ground turkey	PDT000395114.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:08Z
SAMN10221152	E.coli and Shigella	Escherichia coli	environmental/other	USA:SC	Pork Chops	PDT000395115.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:08Z
SAMN10221153	E.coli and Shigella	Escherichia coli	environmental/other	USA:SC	ground turkey	PDT000395116.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:08Z
SAMN10221154	E.coli and Shigella	Escherichia coli	environmental/other	USA:SC	ground turkey	PDT000395117.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:09Z
SAMN10221155	E.coli and Shigella	Escherichia coli	environmental/other	USA:SC	Ground Beef	PDT000395118.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:09Z
SAMN10221148	E.coli and Shigella	Escherichia coli	environmental/other	USA:SC	Pork Chops	PDT000395119.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:09Z
SAMN10221150	E.coli and Shigella	Escherichia coli	environmental/other	USA:SC	ground turkey	PDT000395121.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:09Z
SAMN10221151	E.coli and Shigella	Escherichia coli	environmental/other	USA:SC	ground turkey	PDT000395122.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:09Z
SAMN10221103	E.coli and Shigella	Escherichia coli	environmental/other	USA:OR	Pork Chops	PDT000395123.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:10Z
SAMN10221226	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	ground turkey	PDT000395124.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:10Z
SAMN10221227	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	ground turkey	PDT000395125.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:10Z
SAMN10221435	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Pork Chops bone-in	PDT000395126.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:10Z
SAMN10221434	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Ground Beef	PDT000395127.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:10Z
SAMN10221433	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	ground turkey	PDT000395128.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:11Z
SAMN10221432	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	ground turkey	PDT000395129.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:11Z
SAMN10221431	E.coli and Shigella	Escherichia coli	environmental/other	USA:GA	Pork Chops bone-in	PDT000395130.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:11Z
SAMN10221430	E.coli and Shigella	Escherichia coli	environmental/other	USA:GA	Ground Beef	PDT000395131.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:11Z
SAMN10221429	E.coli and Shigella	Escherichia coli	environmental/other	USA:GA	ground turkey	PDT000395132.1	ciprofloxacin	susceptible	==	0.03	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:11Z
SAMN10221428	E.coli and Shigella	Escherichia coli	environmental/other	USA:GA	ground turkey	PDT000395133.1	ciprofloxacin	nonsusceptible	==	0.12	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:11Z
SAMN10221534	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	ground turkey	PDT000395134.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:12Z
SAMN10221535	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	Ground Beef	PDT000395135.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:12Z
SAMN10221532	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	Mixed Parts	PDT000395136.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:12Z
SAMN10221533	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	ground turkey	PDT000395137.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:12Z
SAMN10221530	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	Chicken Legs	PDT000395138.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:12Z
SAMN10221531	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	Chicken Wings	PDT000395139.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:12Z
SAMN10221437	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	ground turkey	PDT000395140.1	ciprofloxacin	susceptible	==	0.03	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:13Z
SAMN10221436	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Chicken Wings	PDT000395141.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:13Z
SAMN10221584	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	Beef Patties	PDT000395142.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:13Z
SAMN10221585	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	Ground Beef	PDT000395143.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:13Z
SAMN10221582	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	ground turkey	PDT000395144.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:13Z
SAMN10221583	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	ground turkey	PDT000395145.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:13Z
SAMN10221580	E.coli and Shigella	Escherichia coli	environmental/other	USA:KS	Pork Chops	PDT000395146.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:14Z
SAMN10221581	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	Chicken Legs	PDT000395147.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:14Z
SAMN10221578	E.coli and Shigella	Escherichia coli	environmental/other	USA:KS	Ground Beef	PDT000395148.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:14Z
SAMN10221579	E.coli and Shigella	Escherichia coli	environmental/other	USA:KS	Ground Beef	PDT000395149.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:14Z
SAMN10221586	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	Chicken Thighs	PDT000395150.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:14Z
SAMN10221587	E.coli and Shigella	Escherichia coli	environmental/other	USA:MD	ground turkey	PDT000395151.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:14Z
SAMN10221107	E.coli and Shigella	Escherichia coli	environmental/other	USA:OR	ground turkey	PDT000395152.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:15Z
SAMN10221106	E.coli and Shigella	Escherichia coli	environmental/other	USA:OR	Chicken Breasts	PDT000395153.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:15Z
SAMN10221651	E.coli and Shigella	Escherichia coli	environmental/other	USA:PA	ground turkey	PDT000395154.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:15Z
SAMN10221650	E.coli and Shigella	Escherichia coli	environmental/other	USA:PA	ground turkey	PDT000395155.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:15Z
SAMN10221649	E.coli and Shigella	Escherichia coli	environmental/other	USA:PA	Chicken Legs	PDT000395156.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:15Z
SAMN10221648	E.coli and Shigella	Escherichia coli	environmental/other	USA:PA	Ground Beef	PDT000395157.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:15Z
SAMN10221655	E.coli and Shigella	Escherichia coli	environmental/other	USA:PA	Pork Chops bone-in	PDT000395158.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:16Z
SAMN10221654	E.coli and Shigella	Escherichia coli	environmental/other	USA:PA	Chicken Breasts	PDT000395159.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:36:16Z
